municipality_lower,iata_code,name
langkawi,LGK,Langkawi International Airport
legazpi city,LGP,Legazpi City International Airport
cochrane,LGR,Cochrane Airport
malargue,LGS,Comodoro D.R. SalomÃƒÂ³n Airport
logan,LGU,Logan-Cache Airport
london,LGW,London Gatwick Airport
lahore,LHE,Alama Iqbal International Airport
guanghua,LHK,Guangzhou MR Air Base
london,LHR,London Heathrow Airport
las heras,LHS,Las Heras Airport
lanzhou,LHW,Lanzhou Zhongchuan Airport
lifou,LIF,Lifou Airport
limoges/bellegarde,LIG,Limoges Airport
lihue,LIH,Lihue Airport
lille/lesquin,LIL,Lille-Lesquin Airport
lima,LIM,Jorge ChÃƒÂ¡vez International Airport
milan,LIN,Milano Linate Airport
puerto limon,LIO,Limon International Airport
lins,LIP,Lins Airport
liberia,LIR,Daniel Oduber Quiros International Airport
lisbon,LIS,Humberto Delgado Airport (Lisbon Portela Airport)
little rock,LIT,Bill & Hillary Clinton National Airport/Adams Field
loikaw,LIW,Loikaw Airport
lijiang,LJG,Lijiang Airport
angleton/lake jackson,LJN,Texas Gulf Coast Regional Airport
ljubljana,LJU,Ljubljana JoÃ…Â¾e PuÃ„Ânik Airport
lokichoggio,LKG,Lokichoggio Airport
lakselv,LKL,Banak Airport
leknes,LKN,Leknes Airport
lucknow,LKO,Chaudhary Charan Singh International Airport
lake manyara national park,LKY,Lake Manyara Airport
lakenheath,LKZ,RAF Lakenheath
luleãƒâ¥,LLA,LuleÃƒÂ¥ Airport
malelane,LLE,Riverside Airport
yongzhou,LLF,Lingling Airport
lãƒâ¼liang,LLV,LÃƒÂ¼liang Airport
lilongwe,LLW,Lilongwe International Airport
le mans/arnage,LME,Le Mans-Arnage Airport
los mochis,LMM,Valle del Fuerte International Airport
limbang,LMN,Limbang Airport
lossiemouth,LMO,RAF Lossiemouth
lampedusa,LMP,Lampedusa Airport
lime acres,LMR,Lime Acres Finsch Mine Airport
klamath falls,LMT,Crater Lake-Klamath Regional Airport
lander,LND,Hunt Field
lincang,LNJ,Lintsang Airfield
lincoln,LNK,Lincoln Airport
longnan,LNL,Longnan Chengzhou Airport
leonora,LNO,Leonora Airport
lancaster,LNS,Lancaster Airport
smolensk,LNX,Smolensk North Airport
lanai city,LNY,Lanai Airport
linz,LNZ,Linz HÃƒÂ¶rsching Airport
lodwar,LOK,Lodwar Airport
lovelock,LOL,Derby Field
laghouat,LOO,Laghouat Airport
mataram,LOP,Lombok International Airport
lagos,LOS,Murtala Muhammed International Airport
louisville,LOU,Bowman Field
london,LOZ,London-Corbin Airport/Magee Field
gran canaria island,LPA,Gran Canaria Airport
la paz / el alto,LPB,El Alto International Airport
liupanshui,LPF,Liupanshui Yuezhao Airport
la plata,LPG,La Plata Airport
linkãƒâ¶ping,LPI,LinkÃƒÂ¶ping City Airport
lipetsk,LPK,Lipetsk Airport
liverpool,LPL,Liverpool John Lennon Airport
lappeenranta,LPP,Lappeenranta Airport
luang phabang,LPQ,Luang Phabang International Airport
liepã„âja,LPX,LiepÃ„Âja International Airport
le puy/loudes,LPY,Le Puy-Loudes Airport
laredo,LRD,Laredo International Airport
longreach,LRE,Longreach Airport
jacksonville,LRF,Little Rock Air Force Base
la rochelle/ãƒâžle de rãƒâ©,LRH,La Rochelle-ÃƒÂŽle de RÃƒÂ© Airport
niamtougou,LRL,Niamtougou International Airport
la romana,LRM,Casa De Campo International Airport
lar,LRR,Lar Airport
lorient/lann/bihouãƒâ©,LRT,Lorient South Brittany (Bretagne Sud) Airport
las cruces,LRU,Las Cruces International Airport
la serena-coquimbo,LSC,La Florida Airport
la crosse,LSE,La Crosse Municipal Airport
fort benning(columbus),LSF,Lawson Army Air Field (Fort Benning)
lashio,LSH,Lashio Airport
lerwick,LSI,Sumburgh Airport
los chiles,LSL,Los Chiles Airport
paraguanãƒâ¡,LSP,Josefa Camejo International Airport
launceston,LST,Launceston Airport
las vegas,LSV,Nellis Air Force Base
lhok sukon-sumatra island,LSX,Lhok Sukon Airport
lismore,LSY,Lismore Airport
tzaneen,LTA,Tzaneen Airport
ghadames,LTD,Ghadames East Airport
altai,LTI,Altai Airport
latakia,LTK,Bassel Al-Assad International Airport
lethem,LTM,Lethem Airport
london,LTN,London Luton Airport
loreto,LTO,Loreto International Airport
le touquet-paris-plage,LTQ,Le Touquet-CÃƒÂ´te d'Opale Airport
altus,LTS,Altus Air Force Base
latur,LTU,Murod Kond Airport
latacunga,LTX,Cotopaxi International Airport
luderitz,LUD,Luderitz Airport
glendale,LUF,Luke Air Force Base
lugano,LUG,Lugano Airport
cincinnati,LUK,Cincinnati Municipal Airport Lunken Field
luxi,LUM,Mangshi Airport
lusaka,LUN,Kenneth Kaunda International Airport
luena,LUO,Luena Airport
san luis,LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport
cape lisburne,LUR,Cape Lisburne LRRS Airport
langgur,LUV,Karel Sadsuitubun Airport
luwok - celebes island,LUW,Syukuran Aminuddin Amir Airport
luxembourg,LUX,Luxembourg-Findel International Airport
lublin,LUZ,Lublin Airport
laval/entrammes,LVA,Laval-Entrammes Airport
livingstone,LVI,Harry Mwanga Nkumbula International Airport
livingston,LVM,Mission Field
las vegas,LVS,Las Vegas Municipal Airport
lewisburg,LWB,Greenbrier Valley Airport
lawrence,LWM,Lawrence Municipal Airport
gyumri,LWN,Gyumri Shirak Airport
lviv,LWO,Lviv International Airport
leeuwarden,LWR,Leeuwarden Air Base
lewiston,LWS,Lewiston Nez Perce County Airport
lewistown,LWT,Lewistown Municipal Airport
lhasa,LXA,Lhasa Gonggar Airport
luxor,LXR,Luxor International Airport
little cayman,LYB,Edward Bodden Airfield
lynchburg,LYH,Lynchburg Regional Preston Glenn Field
lyon/bron,LYN,Lyon-Bron Airport
faisalabad,LYP,Faisalabad International Airport
longyearbyen,LYR,Svalbard Airport, Longyear
lyon,LYS,Lyon Saint-ExupÃƒÂ©ry Airport
ely,LYU,Ely Municipal Airport
lydd, ashford,LYX,Lydd Airport
lãƒâ¡zaro cãƒâ¡rdenas,LZC,LÃƒÂ¡zaro CÃƒÂ¡rdenas Airport
liuzhou,LZH,Liuzhou Bailian Airport
nangang island,LZN,Matsu Nangan Airport
nyingchi,LZY,Nyingchi Airport
chennai,MAA,Chennai International Airport
marabãƒâ¡,MAB,JoÃƒÂ£o Correa da Rocha Airport
madrid,MAD,Adolfo SuÃƒÂ¡rez MadridÃ¢Â€Â“Barajas Airport
midland,MAF,Midland International Airport
madang,MAG,Madang Airport
menorca island,MAH,Menorca Airport
mangochi,MAI,Mangochi Airport
majuro atoll,MAJ,Marshall Islands International Airport
malakal,MAK,Malakal Airport
matamoros,MAM,General Servando Canales International Airport
manchester,MAN,Manchester Airport
manaus,MAO,Eduardo Gomes International Airport
maracaibo,MAR,La Chinita International Airport
manus island,MAS,Momote Airport
ouro sogui,MAX,Ouro Sogui Airport
mangrove cay,MAY,Clarence A. Bain Airport
mayaguez,MAZ,Eugenio Maria De Hostos Airport
mombasa,MBA,Mombasa Moi International Airport
mafeking,MBD,Mmabatho International Airport
monbetsu,MBE,Monbetsu Airport
mobridge,MBG,Mobridge Municipal Airport
mbeya,MBI,Songwe Airport
montego bay,MBJ,Sangster International Airport
saginaw,MBS,MBS International Airport
masbate,MBT,Moises R. Espinosa Airport
melbourne,MBW,Melbourne Moorabbin Airport
mc comb,MCB,Mc Comb/Pike County Airport/John E Lewis Field
sacramento,MCC,Mc Clellan Airfield
merced,MCE,Merced Regional Macready Field
tampa,MCF,Mac Dill Air Force Base
mcgrath,MCG,McGrath Airport
machala,MCH,General Manuel Serrano Airport
kansas city,MCI,Kansas City International Airport
la mina-maicao,MCJ,Jorge Isaac Airport
mc cook,MCK,Mc Cook Ben Nelson Regional Airport
macon,MCN,Middle Georgia Regional Airport
orlando,MCO,Orlando International Airport
macapãƒâ¡,MCP,Alberto Alcolumbre Airport
monte caseros,MCS,Monte Caseros Airport
muscat,MCT,Muscat International Airport
montluãƒâ§on/guãƒâ©ret,MCU,MontluÃƒÂ§on-GuÃƒÂ©ret Airport
mason city,MCW,Mason City Municipal Airport
makhachkala,MCX,Uytash Airport
maroochydore,MCY,Sunshine Coast Airport
maceiãƒâ³,MCZ,Zumbi dos Palmares Airport
manado-celebes island,MDC,Sam Ratulangi Airport
medellãƒâ­n,MDE,Jose Maria CÃƒÂ³rdova International Airport
mudanjiang,MDG,Mudanjiang Hailang International Airport
carbondale/murphysboro,MDH,Southern Illinois Airport
makurdi,MDI,Makurdi Airport
mbandaka,MDK,Mbandaka Airport
mandalay,MDL,Mandalay International Airport
mar del plata,MDQ,ÃƒÂstor Piazzola International Airport
harrisburg,MDT,Harrisburg International Airport
mendi,MDU,Mendi Airport
chicago,MDW,Chicago Midway International Airport
sand island,MDY,Henderson Field
mendoza,MDZ,El Plumerillo Airport
macaãƒâ©,MEA,MacaÃƒÂ© Airport
melbourne,MEB,Melbourne Essendon Airport
manta,MEC,Eloy Alfaro International Airport
medina,MED,Prince Mohammad Bin Abdulaziz Airport
marãƒâ©,MEE,MarÃƒÂ© Airport
malanje,MEG,Malanje Airport
mehamn,MEH,Mehamn Airport
meridian,MEI,Key Field
meknes,MEK,Bassatine Airport
melbourne,MEL,Melbourne International Airport
memphis,MEM,Memphis International Airport
mende/brãƒâ©noux,MEN,Mende-Brenoux Airfield
merced,MER,Castle Airport
medan-sumatra island,MES,Soewondo Air Force Base
almeirim,MEU,Monte Dourado Airport
mexico city,MEX,Licenciado Benito Juarez International Airport
mansfield,MFD,Mansfield Lahm Regional Airport
mc allen,MFE,Mc Allen Miller International Airport
muzaffarabad,MFG,Muzaffarabad Airport
beigan island,MFK,Matsu Beigan Airport
macau,MFM,Macau International Airport
maradi,MFQ,Maradi Airport
medford,MFR,Rogue Valley International Medford Airport
mfuwe,MFU,Mfuwe Airport
managua,MGA,Augusto C. Sandino (Managua) International Airport
marietta,MGE,Dobbins Air Reserve Base
maringãƒâ¡,MGF,Regional de MaringÃƒÂ¡ - SÃƒÂ­lvio Name JÃƒÂºnior Airport
margate,MGH,Margate Airport
mãƒâ¶nchengladbach,MGL,MÃƒÂ¶nchengladbach Airport
montgomery,MGM,Montgomery Regional (Dannelly Field) Airport
maganguãƒâ©,MGN,Baracoa Airport
mogadishu,MGQ,Aden Adde International Airport
morgantown,MGW,Morgantown Municipal Walter L. Bill Hart Field
mkeik,MGZ,Myeik Airport
mashhad,MHD,Mashhad International Airport
mannheim,MHG,Mannheim-City Airport
marsh harbour,MHH,Leonard M Thompson International Airport
manhattan,MHK,Manhattan Regional Airport
sacramento,MHR,Sacramento Mather Airport
manchester,MHT,Manchester-Boston Regional Airport
mount hotham,MHU,Mount Hotham Airport
mildenhall,MHZ,RAF Mildenhall
miami,MIA,Miami International Airport
minot,MIB,Minot Air Force Base
mãƒâ©rida,MID,Licenciado Manuel Crescencio Rejon Int Airport
muncie,MIE,Delaware County Johnson Field
mianyang,MIG,Mianyang Airport
marãƒâ­lia,MII,Frank Miloye MilenkowichiÃ¢Â€Â“MarÃƒÂ­lia State Airport
mikkeli,MIK,Mikkeli Airport
merimbula,MIM,Merimbula Airport
beersheba,MIP,Ramon Air Base
monastir,MIR,Monastir Habib Bourguiba International Airport
maiduguri,MIU,Maiduguri International Airport
millville,MIV,Millville Municipal Airport
moenjodaro,MJD,Moenjodaro Airport
tripoli,MJI,Mitiga Airport
denham,MJK,Shark Bay Airport
mouila,MJL,Mouilla Ville Airport
mbuji mayi,MJM,Mbuji Mayi Airport
mytilene,MJT,Mytilene International Airport
san javier,MJV,San Javier Airport
mirny,MJZ,Mirny Airport
kansas city,MKC,Charles B. Wheeler Downtown Airport
milwaukee,MKE,General Mitchell International Airport
muskegon,MKG,Muskegon County Airport
kaunakakai,MKK,Molokai Airport
jackson,MKL,McKellar-Sipes Regional Airport
merauke-papua island,MKQ,Mopah Airport
makokou,MKU,Makokou Airport
manokwari-papua island,MKW,Rendani Airport
mackay,MKY,Mackay Airport
malacca,MKZ,Malacca Airport
valletta,MLA,Malta International Airport
melbourne,MLB,Melbourne International Airport
mc alester,MLC,Mc Alester Regional Airport
malãƒâ©,MLE,MalÃƒÂ© International Airport
moline,MLI,Quad City International Airport
marshall,MLL,Marshall Don Hunter Sr Airport
morelia,MLM,General Francisco J. Mujica International Airport
melilla,MLN,Melilla Airport
miles city,MLS,Frank Wiley Field
monroe,MLU,Monroe Regional Airport
monrovia,MLW,Spriggs Payne Airport
malatya,MLX,Malatya ErhaÃƒÂ§ Airport
ã…âœzora,MMB,Memanbetsu Airport
minamidaitã…â,MMD,Minami-Daito Airport
durham,MME,Durham Tees Valley Airport
matsumoto,MMJ,Matsumoto Airport
murmansk,MMK,Murmansk Airport
vila do maio,MMO,Maio Airport
eastover,MMT,Mc Entire Joint National Guard Base
morristown,MMU,Morristown Municipal Airport
malmãƒâ¶,MMX,MalmÃƒÂ¶ Sturup Airport
miyako city,MMY,Miyako Airport
maningrida,MNG,Maningrida Airport
al masna'ah,MNH,Rustaq Airport
gerald's park,MNI,John A. Osborne Airport
pasay / paraãƒâ±aque, metro manila,MNL,Ninoy Aquino International Airport
mongu,MNR,Mongu Airport
manicorãƒâ©,MNX,ManicorÃƒÂ© Airport
moa,MOA,Orestes Acosta Airport
mobile,MOB,Mobile Regional Airport
montes claros,MOC,MÃƒÂ¡rio Ribeiro Airport
modesto,MOD,Modesto City Co-Harry Sham Field
mong hsat,MOG,Mong Hsat Airport
ãƒâ…rãƒâ¸,MOL,Molde Airport
minot,MOT,Minot International Airport
moranbah,MOV,Moranbah Airport
malay,MPH,Godofredo P. Ramos Airport
montpellier/mãƒâ©diterranãƒâ©e,MPL,Montpellier-MÃƒÂ©diterranÃƒÂ©e Airport
maputo,MPM,Maputo Airport
mount pleasant,MPN,Mount Pleasant Airport
barre/montpelier,MPV,Edward F Knapp State Airport
mariupol,MPW,Mariupol International Airport
miquelon,MQC,Miquelon Airport
magnitogorsk,MQF,Magnitogorsk International Airport
minaãƒâ§u,MQH,MinaÃƒÂ§u Airport
khonuu,MQJ,Moma Airport
mildura,MQL,Mildura Airport
mardin,MQM,Mardin Airport
mo i rana,MQN,Mo i Rana Airport, RÃƒÂ¸ssvoll
mpumalanga,MQP,Kruger Mpumalanga International Airport
mustique island,MQS,Mustique Airport
marquette,MQT,Sawyer International Airport
mariquita,MQU,Mariquita Airport
smyrna,MQY,Smyrna Airport
martinsburg,MRB,Eastern WV Regional Airport/Shepherd Field
mãƒâ©rida,MRD,Alberto Carnevalli Airport
masai mara,MRE,Mara Serena Lodge Airstrip
anchorage,MRI,Merrill Field
masterton,MRO,Hood Airport
gasan,MRQ,Marinduque Airport
macarãƒâ¡,MRR,Jose Maria Velasco Ibarra Airport
marseille,MRS,Marseille Provence Airport
port louis,MRU,Sir Seewoosagur Ramgoolam International Airport
mineralnyye vody,MRV,Mineralnyye Vody Airport
lolland falster / maribo,MRW,Lolland Falster Maribo Airport
monterey,MRY,Monterey Peninsula Airport
moree,MRZ,Moree Airport
muskrat dam,MSA,Muskrat Dam Airport
masirah,MSH,Masirah Air Base
misawa,MSJ,Misawa Air Base
muscle shoals,MSL,Northwest Alabama Regional Airport
madison,MSN,Dane County Regional Truax Field
missoula,MSO,Missoula International Airport
minneapolis,MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport
minsk,MSQ,Minsk National Airport
muã…âÿ,MSR,MuÃ…ÂŸ Airport
massena,MSS,Massena International Richards Field
maastricht,MST,Maastricht Aachen Airport
maseru,MSU,Moshoeshoe I International Airport
massawa,MSW,Massawa International Airport
new orleans,MSY,Louis Armstrong New Orleans International Airport
namibe,MSZ,Namibe Airport
mount clemens,MTC,Selfridge Air National Guard Base Airport
marathon,MTH,The Florida Keys Marathon Airport
montrose,MTJ,Montrose Regional Airport
baltimore,MTN,Martin State Airport
monterãƒâ­a,MTR,Los Garzones Airport
manzini,MTS,Matsapha Airport
minatitlãƒâ¡n,MTT,MinatitlÃƒÂ¡n/Coatzacoalcos National Airport
monterrey,MTY,General Mariano Escobedo International Airport
masada,MTZ,Bar Yehuda Airfield
maun,MUB,Maun Airport
munich,MUC,Munich Airport
mueda,MUD,Mueda Airport
kamuela,MUE,Waimea Kohala Airport
mersa matruh,MUH,Mersa Matruh Airport
fort indiantown gap(annville),MUI,Muir Army Air Field (Fort Indiantown Gap) Airport
mountain home,MUO,Mountain Home Air Force Base
marudi,MUR,Marudi Airport
multan,MUX,Multan International Airport
franceville,MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport
montevideo,MVD,Carrasco International /General C L Berisso Airport
mossorãƒâ³,MVF,Dix-Sept Rosado Airport
mitãƒâº,MVP,Fabio Alberto Leon Bentley Airport
mogilev,MVQ,Mogilev Airport
maroua,MVR,Salak Airport
masvingo,MVZ,Masvingo International Airport
mianwali,MWD,Mianwali Air Base
merowe,MWE,Merowe New Airport
moses lake,MWH,Grant County International Airport
piseo-ri (muan),MWX,Muan International Airport
mwanza,MWZ,Mwanza Airport
montgomery,MXF,Maxwell Air Force Base
mati,MXI,Mati National Airport
minna,MXJ,Minna Airport
mexicali,MXL,General Rodolfo SÃƒÂ¡nchez Taboada International Airport
morlaix/ploujean,MXN,Morlaix-Ploujean Airport
milan,MXP,Malpensa International Airport
mãƒâ¶rãƒâ¶n,MXV,MÃƒÂ¶rÃƒÂ¶n Airport
mora,MXX,Mora Airport
moruya,MYA,Moruya Airport
maracay,MYC,Escuela Mariscal Sucre Airport
malindi,MYD,Malindi Airport
miyakejima,MYE,Miyakejima Airport
abrahams bay,MYG,Mayaguana Airport
matsuyama,MYJ,Matsuyama Airport
mccall,MYL,McCall Municipal Airport
mary,MYP,Mary Airport
myrtle beach,MYR,Myrtle Beach International Airport
myitkyina,MYT,Myitkyina Airport
mekoryuk,MYU,Mekoryuk Airport
marysville,MYV,Yuba County Airport
mtwara,MYW,Mtwara Airport
miri,MYY,Miri Airport
mocãƒâ­mboa da praia,MZB,MocÃƒÂ­mboa da Praia Airport
makung city,MZG,Makung Airport
manizales,MZL,La Nubia Airport
manzanillo,MZO,Sierra Maestra Airport
mkuze,MZQ,Mkuze Airport
mazatlãƒâ¡n,MZT,General Rafael Buelna International Airport
mulu,MZV,Mulu Airport
mecheria,MZW,Mecheria Airport
narrabri,NAA,Narrabri Airport
nagpur,NAG,Dr. Babasaheb Ambedkar International Airport
tahuna-sangihe island,NAH,Naha Airport
nakhchivan,NAJ,Nakhchivan Airport
nalchik,NAL,Nalchik Airport
nadi,NAN,Nadi International Airport
nãƒâ¡poli,NAP,Naples International Airport
nassau,NAS,Lynden Pindling International Airport
natal,NAT,Governador AluÃƒÂ­zio Alves International Airport
beijing,NAY,Beijing Nanyuan Airport
nizhnekamsk,NBC,Begishevo Airport
enfidha,NBE,Enfidha - Hammamet International Airport
new orleans,NBG,New Orleans NAS JRB/Alvin Callender Field
nairobi,NBO,Jomo Kenyatta International Airport
baishan,NBS,Changbaishan Airport
guantanamo bay naval station,NBW,Leeward Point Field
nabire-papua island,NBX,Nabire Airport
nice,NCE,Nice-CÃƒÂ´te d'Azur Airport
newcastle,NCL,Newcastle Airport
north kingstown,NCO,Quonset State Airport
newcastle,NCS,Newcastle Airport
annecy/meythet,NCY,Annecy-Haute-Savoie-Mont Blanc Airport
nouadhibou,NDB,Nouadhibou International Airport
nanded,NDC,Nanded Airport
sumbe,NDD,Sumbe Airport
qiqihar,NDG,Qiqihar Sanjiazi Airport
n'djamena,NDJ,N'Djamena International Airport
nador,NDR,Nador International Airport
rundu,NDU,Rundu Airport
necochea,NEC,Necochea Airport
lakehurst,NEL,Lakehurst Maxfield Field Airport
neryungri,NER,Chulman Airport
charlestown,NEV,Vance W. Amory International Airport
new orleans,NEW,Lakefront Airport
nefteyugansk,NFG,Nefteyugansk Airport
fallon,NFL,Fallon Naval Air Station
ningbo,NGB,Ningbo Lishe International Airport
n'gaoundãƒâ©rãƒâ©,NGE,N'GaoundÃƒÂ©rÃƒÂ© Airport
kaneohe,NGF,Kaneohe Bay MCAS (Marion E. Carl Field) Airport
tokoname,NGO,Chubu Centrair International Airport
shiquanhe,NGQ,Ngari Gunsa Airport
nagasaki,NGS,Nagasaki Airport
norfolk,NGU,Norfolk Naval Station (Chambers Field)
dubai,NHD,Al Minhad Air Base
patuxent river,NHK,Patuxent River Naval Air Station (Trapnell Field)
london,NHT,RAF Northolt
brunswick,NHZ,Brunswick Executive Airport
niamey,NIM,Diori Hamani International Airport
jacksonville,NIP,Jacksonville Naval Air Station (Towers Field)
niort/souchãƒâ©,NIT,Niort-SouchÃƒÂ© Airport
ayase / yamato,NJA,JMSDF Atsugi Air Base / Naval Air Facility Atsugi
nizhnevartovsk,NJC,Nizhnevartovsk Airport
el centro,NJK,El Centro NAF Airport (Vraciu Field)
nouakchott,NKC,NouakchottÃ¢Â€Â“Oumtounsy International Airport
nanjing,NKG,Nanjing Lukou Airport
nagoya,NKM,Nagoya Airport
ã…âžã„â±rnak,NKT,Ã…ÂžÃ„Â±rnak Ã…Âžerafettin ElÃƒÂ§i Airport
diego garcia,NKW,Diego Garcia Naval Support Facility
san diego,NKX,Miramar Marine Corps Air Station - Mitscher Field
ndola,NLA,Simon Mwansa Kapwepwe International Airport
lemoore,NLC,Lemoore Naval Air Station (Reeves Field) Airport
nuevo laredo,NLD,QuetzalcÃƒÂ³atl International Airport
ninglang,NLH,Ninglang Luguhu Airport
nikolayevsk-na-amure airport,NLI,Nikolayevsk-na-Amure Airport
burnt pine,NLK,Norfolk Island International Airport
n'dolo,NLO,Ndolo Airport
xinyuan county,NLT,Xinyuan Nalati Airport
nikolayev,NLV,Mykolaiv International Airport
namsang,NMS,Namsang Airport
nanning,NNG,Nanning Wuxu Airport
naryan mar,NNM,Naryan Mar Airport
nicoya,NOB,Nosara Airport
charleston,NOC,Ireland West Knock Airport
noyabrsk,NOJ,Noyabrsk Airport
nosy be,NOS,Fascene Airport
noumãƒâ©a,NOU,La Tontouta International Airport
huambo,NOV,Nova Lisboa Airport
novokuznetsk,NOZ,Spichenkovo Airport
pensacola,NPA,Pensacola Naval Air Station/Forrest Sherman Field
napier,NPE,Hawke's Bay Airport
new plymouth,NPL,New Plymouth Airport
nanga pinoh-borneo island,NPO,Nanga Pinoh Airport
millington,NQA,Millington-Memphis Airport
kingsville,NQI,Kingsville Naval Air Station
neuquen,NQN,Presidente Peron Airport
nottingham,NQT,Nottingham Airport
key west,NQX,Naval Air Station Key West/Boca Chica Field
newquay,NQY,Newquay Cornwall Airport
narrandera,NRA,Narrandera Airport
mayport,NRB,Naval Station Mayport (Admiral David L. Mcdonald Field)
norrkãƒâ¶ping,NRK,NorrkÃƒÂ¶ping Airport
weeze,NRN,Weeze Airport
tokyo / narita,NRT,Narita International Airport
milton,NSE,Whiting Field Naval Air Station - North
yaoundãƒâ©,NSI,YaoundÃƒÂ© Nsimalen International Airport
norilsk,NSK,Norilsk-Alykel Airport
nelson,NSN,Nelson Airport
nakhon si thammarat,NST,Nakhon Si Thammarat Airport
sigonella (ct),NSY,Sigonella Navy Air Base
notodden,NTB,Notodden Airport
point mugu,NTD,Point Mugu Naval Air Station (Naval Base Ventura Co)
nantes,NTE,Nantes Atlantique Airport
williamtown,NTL,Newcastle Airport
normanton,NTN,Normanton Airport
wajima,NTQ,Noto Airport
virginia beach,NTU,Oceana Naval Air Station
ranai-natuna besar island,NTX,Ranai Airport
nuremberg,NUE,Nuremberg Airport
nuiqsut,NUI,Nuiqsut Airport
neom,NUM,Neom Airport
mountain view,NUQ,Moffett Federal Airfield
oak harbor,NUW,Whidbey Island Naval Air Station (Ault Field)
novy urengoy,NUX,Novy Urengoy Airport
neiva,NVA,Benito Salas Airport
narvik,NVK,Narvik Framnes Airport
nevers/fourchambault,NVS,Nevers-Fourchambault Airport
navegantes,NVT,Ministro Victor Konder International Airport
norwich,NWI,Norwich International Airport
nyagan,NYA,Nyagan Airport
sunyani,NYI,Sunyani Airport
nanyuki,NYK,Nanyuki Airport
nadym,NYM,Nadym Airport
stockholm / nykãƒâ¶ping,NYO,Stockholm Skavsta Airport
pyinmana,NYT,Naypyidaw Airport
nazca,NZC,Maria Reiche Neuman Airport
zhalantun,NZL,Chengjisihan Airport
san diego,NZY,North Island Naval Air Station-Halsey Field
orange,OAG,Orange Airport
bagram,OAI,Bagram Air Base
jacksonville,OAJ,Albert J Ellis Airport
oakland,OAK,Metropolitan Oakland International Airport
oaxaca,OAX,XoxocotlÃƒÂ¡n International Airport
obihiro,OBO,Tokachi-Obihiro Airport
aubenas/ardãƒâ¨che mãƒâ©ridional,OBS,Aubenas-ArdÃƒÂ¨che MÃƒÂ©ridional Airport
coca,OCC,Francisco De Orellana Airport
ocho rios,OCJ,Boscobel Aerodrome
ocaãƒâ±a,OCV,Aguas Claras Airport
cãƒâ³rdoba,ODB,CÃƒÂ³rdoba Airport
odense,ODE,Odense Airport
odiham,ODH,RAF Odiham
odessa,ODS,Odessa International Airport
oecussi-ambeno,OEC,Rota Do SÃƒÂ¢ndalo Oecusse Airport
orel,OEL,Oryol Yuzhny Airport
ãƒâ–rnskãƒâ¶ldsvik,OER,ÃƒÂ–rnskÃƒÂ¶ldsvik Airport
omaha,OFF,Offutt Air Force Base
norfolk,OFK,Karl Stefan Memorial Airport
orangeburg,OGB,Orangeburg Municipal Airport
ogden,OGD,Ogden Hinckley Airport
kahului,OGG,Kahului Airport
ogle,OGL,Eugene F. Correira International Airport
ouargla,OGX,Ain el Beida Airport
beslan,OGZ,Beslan Airport
ohrid,OHD,Ohrid St. Paul the Apostle Airport
mohe,OHE,Gu-Lian Airport
okhotsk,OHO,Okhotsk Airport
izu oshima,OIM,Oshima Airport
okushiri island,OIR,Okushiri Airport
oita,OIT,Oita Airport
naha,OKA,Naha Airport
oklahoma city,OKC,Will Rogers World Airport
sapporo,OKD,Okadama Airport
okinoerabujima,OKE,Okierabu Airport
okinoshima,OKI,Oki Global Geopark Airport
okayama,OKJ,Okayama Momotaro Airport
okondja,OKN,Okondja Airport
fussa,OKO,Yokota Air Base
ãƒâ˜rland,OLA,ÃƒÂ˜rland Airport
olbia (ss),OLB,Olbia Costa Smeralda Airport
wolf point,OLF,L M Clayton Airport
oyo,OLL,Oyo Ollombo Airport
olympia,OLM,Olympia Regional Airport
nogales,OLS,Nogales International Airport
olyokminsk,OLZ,Olyokminsk Airport
omaha,OMA,Eppley Airfield
omboue,OMB,Omboue Hopital Airport
ormoc city,OMC,Ormoc Airport
oranjemund,OMD,Oranjemund Airport
nome,OME,Nome Airport
urmia,OMH,Urmia Airport
mostar,OMO,Mostar International Airport
oradea,OMR,Oradea International Airport
omsk,OMS,Omsk Central Airport
ondangwa,OND,Ondangwa Airport
odate,ONJ,Odate Noshiro Airport
newport,ONP,Newport Municipal Airport
ontario,ONT,Ontario International Airport
colãƒâ³n,ONX,Enrique Adolfo Jimenez Airport
gold coast,OOL,Gold Coast Airport
cooma,OOM,Cooma Snowy Mountains Airport
miami,OPF,Miami-Opa Locka Executive Airport
porto,OPO,Francisco de SÃƒÂ¡ Carneiro Airport
balimo,OPU,Balimo Airport
orãƒâ¡n,ORA,OrÃƒÂ¡n Airport
ãƒâ–rebro,ORB,ÃƒÂ–rebro Airport
chicago,ORD,Chicago O'Hare International Airport
orlãƒâ©ans/bricy,ORE,OrlÃƒÂ©ans-Bricy (BA 123) Air Base
norfolk,ORF,Norfolk International Airport
worcester,ORH,Worcester Regional Airport
cork,ORK,Cork Airport
oran,ORN,Es Senia Airport
northway,ORT,Northway Airport
oruro,ORU,Juan Mendoza Airport
paris,ORY,Paris-Orly Airport
ãƒâ–stersund,OSD,ÃƒÂ…re ÃƒÂ–stersund Airport
moscow,OSF,Ostafyevo International Airport
oshkosh,OSH,Wittman Regional Airport
